"Benzene, 1-chloro-4-nitro-",C6H4ClNO2,100-00-5
"Iron(ii,iii) oxide",Fe3O4,1317-61-9
"Iron sulfide, marcasite",FeS2,1317-66-4
Titanium oxide,O2Ti,1317-70-0
1-Nitrofluoranthene,C16H9NO2,13177-28-1
2-Nitrofluoranthene,C16H9NO2,13177-29-2
7-Nitrofluoranthene,C16H9NO2,13177-31-6
"Fluoranthene, 8-nitro-",C16H9NO2,13177-32-7
"2,4-Cyclopentadiene-1-one",C5H4O,13177-38-3
"Pyrazine,tetrafluoro-",C4F4N2,13177-77-0
Titanium (IV) oxide,TiO2,1317-80-2
CaSCH3,CH3CaS,131794-11-1
SrSCH3,CH3SSr,131794-17-7
BCO,CBO,131794-23-5
Iron sulfide,FeS,1317-96-0
CH3O(CH2)4OCH3,C6H14O2,13179-96-9
"Quinoline,heptafluoro-",C9F7N,13180-38-6
"Isoquinoline,heptafluoro-",C9F7N,13180-39-7
"Aluminum, bis(N,N'-di-tert-butyl-1,4-diaza-1,3-butadiene)-",C20H40AlN4,131810-28-1
"Phenol, isoBOC",C11H14O3,13183-18-1
2-Methylpropane-2-d,C4H9D,13183-68-1
"Silane, 1,4-phenylenebis[trimethyl-",C12H22Si2,13183-70-5
Dipentaerythritol hexanitrate,C10H16N6O19,13184-80-0
Ethyl vanillylether,C10H14O3,13184-86-6
CaBH4,H4BCa,131865-01-5
HSO2H,H2O2S,131865-77-5
2-Bromo dodecane,C12H25Br,13187-99-0
"2-Cyclohexyl-4,6-dinitrophenol",C12H14N2O5,131-89-5
"2-Oxazolidinethione, 5-ethenyl-",C5H7NOS,13190-34-6
"3-Oxabicyclo[3.2.1.]octane-2,4-dione, 6,7-dihydroxy-, 6,7-diacetate",C11H12O7,13190-77-7
"Cyclopentanecarboxamide, 2,3-dihydroxy-4-(hydroxymethyl)-2,3-diacetate",C11H17NO6,13190-79-9
"2,5-Dibromo-3-methylthiophene",C5H4Br2S,13191-36-1
"1,3-Hexadiene + MTAD adduct",C9H13N3O2,131916-23-9
"9Z,11E-Tetradecadienyl acetate + MTAD adduct",C19H31N3O4,131916-26-2
"2-Naphthalenol, 1-nitroso-",C10H7NO2,131-91-9
Ethoprophos,C8H19O2PS2,13194-48-4
Basic lead carbonate,C2H2O8Pb3,1319-46-6
4-Fluoro-2-iodotoluene,C7H6FI,13194-67-7
2-Amino-5-iodotoluene,C7H8IN,13194-68-8
,,13194-73-5
"2,2,4'-Tribromoacetophenone",C8H5Br3O,13195-79-4
"1,1-Dibromopropene",C3H4Br2,13195-80-7
Cresol,C7H8O,1319-77-3
Naphthoic acid,C11H8O2,1320-04-3
"Alpha-(2,4,5-trichlorophenoxy)isobutyric acid",C10H9Cl3O3,13201-16-6
"2-Butenoic acid, 2-methyl-",C5H8O2,13201-46-2
"Benzoic acid, (1,1-dimethylethyl)-",C11H14O2,1320-16-7
1-Pentylnaphthalene,C15H18,1320-27-0
4-Methylphenethyl isothiocyanate,C10H11NS,13203-39-9
"Urea, N,N-dimethyl-",C3H8N2O,1320-50-9
"Boron, carbonyltrihydro-",CH3BO,13205-44-2
1-Methyldecylamine,C11H25N,13205-56-6
1-Methyldodecylamine,C13H29N,13205-57-7
"1-Propanamine, N-ethyl-2-methyl",C6H15N,13205-60-2
"Urea, 1-(2-chloroethyl)-1-nitroso-3-phenyl-",C9H10ClN3O2,13206-67-2
"Propanol, 3-methoxy-",C4H10O2,1320-67-8
5-Iodo-8-quinolinol,C9H6INO,13207-63-1
"N,N'-Bis(3-chlorophenyl)urea",C13H10Cl2N2O,13208-31-6
"Benzenemethanol, 2-amino-.alpha.-phenyl-",C13H13NO,13209-38-6
1-(4-Biphenylyl)-1-butanone,C16H16O,13211-01-3
"Bicyclo[2.2.1]heptan-2-one, 3,3-dimethyl-",C9H14O,13211-15-9
"2,5-Dimethylhydroquinone",C8H10O2,1321-28-4
"1-Fluoro-1,1-dinitroethane",C2H3FN2O4,13214-58-9
Benzenebutanamine,C10H15N,13214-66-9
"2,3-Dibromonaphthalene",C10H6Br2,13214-70-5
Iron phthalocyanine,C32H16FeN8,132-16-1
5-Hydroxyindole-3-acetic acid,C10H9NO3,1321-73-9
"Benzene, diethenyl-",C10H10,1321-74-0
"Piperidine, 4-diphenylmethoxy-1-methyl-, hydrochloride",C19H23NO.ClH,132-18-3
"cyclobutane, 4-chloro-1,1,2,2,3,3-hexafluoro-",C4HClF6,132186-30-2
methylnaphthalene,C11H10,1321-94-4
1-Methyl-3-pyrrolidinol,C5H11NO,13220-33-2
"Carbonic acid, ethyl octynyl ester",C11H18O2,1322-12-9
"2,3-Pentadiene, 1,1,1,5,5,5-hexafluoro-2,4-bis(trifluoromethyl)-",C7F12,13222-45-2
4-Methylbenzoic acid anhydride,C16H14O3,13222-85-0
Chlorpheniramine,C16H19ClN2,132-22-9
ethylephedrine,C12H19NO,1322-32-3
"2,2'-Methylenebis(4-chlorophenol)",C13H10Cl2O2,1322-43-6
"&#945;-D-Methyl glucopyranoside-2,3,4,6-tetranitrate",C7H10N4O14,13225-10-0
"Methanone, bis(4-ethyl-3,5-dimethyl-1H-pyrrol-2-yl)-",C17H24N2O,13228-22-3
"1H-Indole, 2-propyl-",C11H13N,13228-41-6
Diphenyl o-xenyl phosphate,C24H19O4P,132-29-6
"Lactic acid, n-tetradecyl ester",C17H34O3,1323-03-1
"1-Hexanol, 3-methyl-",C7H16O,13231-81-7
"Methanediamine, N,N'-dimethyl-N,N'-dinitro-",C3H8N4O4,13232-00-3
"9H-Carbazol-3-amine, 9-ethyl-",C14H14N2,132-32-1
Glyceryl monoricinoleate,C21H40O5,1323-38-2
"p,p-Bis(trifluoromethyl)-N-(triphenylphosphoranylidene)-phosphinous amide",C20H15F6NP2,132365-62-9
AsH3F2,H3AsF2,132377-03-8
"1,2,3-propanetriol dioctadecanoate",C39H76O5,1323-83-7
"Pyrazine, 2,5-diethyl-",C8H12N2,13238-84-1
"&#946;-D-Glucopyranose, 1,6-anhydro-, triacetate",C12H16O8,13242-55-2
"Ethylene, 2-bromo-1,1-diphenyl-",C14H11Br,13249-58-6
&#945;-naphthyl phenyl sulfone,C16H12O2S,13249-96-2
4-methylphenyl 1-naphthyl sulfone,C17H14O2S,13249-99-5
"2,4-dimethylphenyl 2,4,6-trimethylphenyl sulfone",C17H20O2S,13250-01-6
bis(1-naphthyl) sulfone,C20H14O2S,13250-03-8
1-naphthyl 2-naphthyl sulfone,C20H14O2S,13250-04-9
"2,4-dimethylphenyl 2-naphthyl sulfone",C18H16O2S,13250-05-0
2-Naphthyl-p-tolyl sulfone,C17H14O2S,13250-06-1
"phenyl 2,4,5-trimethylphenyl sulfone",C15H16O2S,13250-07-2
"2-Butanamine, (R)-",C4H11N,13250-12-9
"Sulfide, bis(4-methylbenzyl)-",C16H18S,13250-88-9
"Perfluoro-2,5,8,11,14-pentamethyl-3,6,9,12,15-pentaoxaoctadecanolyl fluoride",C18F36O6,13252-15-8
"1-Naphthalenol, 2-nitroso-",C10H7NO2,132-53-6
Di-n-butyl l(+)-aspartate hydrochloride,C12H24ClNO4,13253-91-3
Di-n-pentyl nitrosamine,C10H22N2O,13256-06-9
"3-Thiophenine, tetrahydro-n-methyl-n-nitroso-, 1,1-dioxide",C5H10N2O3S,13256-21-8
"5&#945;-Androstanediol-3&#946;,17&#946;, bis-TMS",C25H48O2Si2,13260-01-0
"9H-Fluoren-2-amine, N,N-dimethyl-",C15H15N,13261-62-6
"1,1-diisopropoxy-2-methylpropane",C10H22O2,13262-23-2
Dibenzofuran,C12H8O,132-64-9
Dibenzothiophene,C12H8S,132-65-0
Cerium(III) oxalate,C6Ce2O12,13266-83-6
"2-Naphthalenecarboxamide, 3-hydroxy-N-1-naphthalenyl-",C21H15NO2,132-68-3
"3-Hexene, (E)-",C6H12,13269-52-8
CH5AlO2,CH5AlO2,132698-63-6
CH4AlFO,CH4AlFO,132698-64-7
C2H7FOSi,C2H7FOSi,132698-65-8
"2-Cyclohexenone,3-bromo,5,5-dimethyl-",C8H11BrO,13271-49-3
Diethyl 2-furylsilane,C8H14OSi,13271-67-5
2-Furyl-dimethylsilane,C6H10OSi,13271-68-6
Methyl ethyl 2-furyl silane,C7H12OSi,13271-69-7
"Phosphinic acid, bis(chloromethyl),- ethyl ester",C4H9Cl2O2P,13274-84-5
1-Naphthaleneacetonitrile,C12H9N,132-75-2
Diarsenic oxide,As2O3,1327-53-3
"Cyclohexaneacetic acid, 1-hydroxy-3,3,5-trimethyl-, tert-butyl ester",C15H28O3,13278-11-0
"Cyclohexaneacetic acid, 4-tert-butyl-1-hydroxy-, tert-butyl ester",C16H30O3,13278-12-1
"1,1,3-trichlorobutane",C4H7Cl3,13279-87-3
"3-(2-Cyclohexylphenoxy)-1,2-propanediol",C15H22O3,132801-79-7
CdC5H5,C5H5Cd,132804-94-5
"1,3-Cyclohexadien-5-yne, 1,2,3,4-tetrachloro-",C6Cl4,13280-72-3
2-nonanethiol,C9H20S,13281-11-3
N-(5-nitro-2-furoyl)-n'-(isopropylidene) hydrazine,C8H9N3O4,13281-50-0
"2,2,3-Trichloro-n-(4-chlorophenyl)-n-methylpropanamide",C10H9Cl4NO,132829-84-6
Tungsten hexachloride,Cl6W,13283-01-7
Borane,H3B,13283-31-3
"Tetracyclo[3.2.0.0<sup>2,7</sup>.0<sup>4,6</sup>]heptane-1,5-dicarbonitrile",C9H6N2,13283-33-5
Diethylzinc diethyltellurim complex,C8H20TeZn,132851-15-1
"Benzoic acid, p-[(2-hydroxy-3-phthalimidopropyl)amino]-, ethyl ester",C20H20N2O5,132854-37-6
Ibp,C11H17O3PS,13286-32-3
"1,3-Naphthalenediol",C10H8O2,132-86-5
"2,11-dimethyldodecane",C14H30,13286-71-0
"3,9-diethylundecane",C15H32,13286-72-1
"Tridecane, 3-ethyl-",C15H32,13286-73-2
4-propyltetradecane,C17H36,13286-74-3
5-Methyl-2-thiahexane,C6H14S,13286-90-3
"3,3-dimethyl-2-thiapentane",C6H14S,13286-92-5
5-butylpentadecane,C19H40,13287-00-8
"4,10-dipropyltridecane",C19H40,13287-01-9
3-ethyloctadecane,C20H42,13287-02-0
"5,10-dibutyltetradecane",C22H46,13287-05-3
"6,12-dipentylheptadecane",C27H56,13287-07-5
9-octylnonadecane,C27H56,13287-08-6
"Tridecane, 6-methyl-",C14H30,13287-21-3
"Heptadecane, 8-methyl",C18H38,13287-23-5
"Nonadecane, 9-methyl",C20H42,13287-24-6
"Heneicosane, 10-methyl",C22H46,13287-25-7
4-Nitrobenzyl thiocyanate,C8H6N2O2S,13287-49-5
"Ethanol, 2-[(4-nitrophenyl)thio]-",C8H9NO3S,13287-76-8
"Glycine, N-(2-furanylcarbonyl)-, methyl ester",C8H9NO4,13290-00-1
"Benzene, 1-chloro-2-methyl-4-nitro-",C7H6ClNO2,13290-74-9
"1,3-Benzenedicarboxylic acid, 5-nitro-, dimethyl ester",C10H9NO6,13290-96-5
(E)-3-Propylidenecyclohexene,C9H14,132911-25-2
"Cyclohexene, 3-propylidene-, (Z)-",C9H14,132911-26-3
(E)-3-(2-Methylpropylidene)cyclohexene,C10H14,132911-27-4
"(E)-3-(2,2-Dimethylpropylidene)cyclohexene",C11H16,132911-28-5
"Cyclohexene, 3-(2,2-dimethylpropylidene)-, (Z)-",C11H18,132911-29-6
(E)-3-(2-Methylpropylidene)cyclohexene,C10H14,132911-30-9
"Cyclohexene, 3-(1-methylpropylidene)-, (Z)-",C10H16,132911-31-0
"(E)-3-(2,3,3-Trimethylpropylidene)cyclohexene",C12H18,132911-32-1
"Cyclohexene, 3-(1,2,2-trimethylpropylidene)-, (Z)-",C12H20,132911-33-2
"(E) 3,3'-Bis-(1-cyclohexenylidene)",C12H16,132911-34-3
"(Z) 3,3'-Bis-(1-cyclohexenylidene)",C12H16,132911-35-4
"1,4-Hexadiene, 4-methyl-3-methylene-, (Z)-",C8H12,132911-37-6
2-Cyclopropyn-1-yl,C3H,132915-72-1
Borane-methyl sulfide complex,C2H9BS,13292-87-0
"2,6-Disila-4-mercuraheptane, 2,2,6,6-tetramethyl-3,5-bis(trimethylsilyl)-",C14H38HgSi4,13294-24-1
cis-Styryl ethyl ether,C10H12O,13294-31-0
2-Bromo-2-butene,C4H7Br,13294-71-8
"Cyclohexane,1-(1,1-dimethylethyl)-4-methylene",C11H20,13294-73-0
BrBS,BBrS,132951-45-2
"(E)-3,4-Dimethyl-1,3,5-hexatriene",C8H12,132958-83-9
"Benzenamine, 2-bromo-4-nitro-",C6H5BrN2O2,13296-94-1
"2-Methyl-3-acetylquinoxaline-1,4-dioxide",C11H10N2O3,13297-17-1
Cellobiose,C12H22O11,13299-27-9
"bicyclo[3.1.1]heptane, 2,6,6-trimethyl-, didehydro deriv.",C10H16,1330-16-1
Dimethylbenzene,C8H10,1330-20-7
"Cyclopropane,tetramethyl(2-methyl-1-propenylidene)-",C11H18,13303-30-5
"2-Tetrazene, 1,1,4,4-tetraethyl-",C8H20N4,13304-29-5
"2-Tetrazene, 1,1,4,4-tetrakis(1-methylethyl)-",C12H28N4,13304-31-9
Sodium borate,B4Na2O7,1330-43-4
N-Benzylacrylamide,C10H11NO,13304-62-6
"Acetic acid, &#945;-hydroxy-&#945;-(4-methoxyphenyl), methyl ester",C10H12O4,13305-14-1
NO3+,NO3+,133057-96-2
Captan,C9H8Cl3NO2S,133-06-2
"Silanamine, 1,1,1-trichloro-N,N-dimethyl-",C2H6Cl3NSi,13307-04-5
"3-Acetoxy-17alpha-ethylestra-1,3,5(10),6,8-pentaen-17beta-ol",C22H26O3,133070-71-0
Folpet,C9H4Cl3NO2S,133-07-3
isobutyl phenyl sulfide,C10H14S,13307-61-4
"Indole-1-carboxylic acid, ethyl ester",C11H11NO2,13307-67-0
tritolyl phosphate (mixture of isomers),C21H21O3P,1330-78-5
Diethyl butylmalonate,C11H20O4,133-08-4
Diisooctyl adipate,C22H42O4,1330-86-5
Diisooctyl phthalate,C24H38O4,1330-91-2
".alpha.,.alpha.,.alpha.,6-Tetrafluoro-o-tolunitrile",C8H3F4N,133116-83-3
methycyclohexanone,C7H12O,1331-22-2
"Propanedioic acid, ethyl-, diethyl ester",C9H16O4,133-13-1
n-Propyl trichloroacetate,C5H7Cl3O2,13313-91-2
"Pentanol, 2,2,4-trimethyl-",C8H18O,1331-40-4
2-(&#945;-Methybenzylamino)ethanol,C10H15NO,1331-41-5
Diethylcyclohexane,C10H20,1331-43-7
"Succinimide, N-(o-toluidinomethyl)-,",C12H14N2O2,13314-98-2
Chloroprocaine,C13H19ClN2O2,133-16-4
CaC5H5,C5H5Ca,133165-70-5
Triethyl(hexadecyl)-.lambda.&lt;5&gt;-azane hydrobromide,C22H48N.Br,13316-70-6
Anisyl acetate,C10H12O3,1331-83-5
N-[2-Amino-4-(trifluoromethyl)phenyl]pyrrolidine,C11H13F3N2,133184-80-2
"Anthranilic acid, phenylethyl ester",C15H15NO2,133-18-6
"2,4-Cyclopentadiene-1,2,3,4-tetracarboxylic acid, 5-chloro-1-methyl-, tetramethyl ester",C14H15ClO8,133186-71-7
Molybdenum tetrachloride,Cl4Mo,13320-71-3
C6H4F3NO6S3,C6H4F3NO6S3,133213-11-3
"Malonic dilactone, alpha-[2-(morpholino)ethyl]-cis-1(me),3(h),4(h)-cis-3(h)-1,8-dihydroxy-3-p-menthyl",C19H29NO5,133227-53-9
"Mannitol, hexakis(trichloroacetate)",C18H8Cl18O12,133227-56-2
Bis(oleoyloxy)dibutyl tin,C44H84O4Sn,13323-62-1
Methyl 2-chloro-4-nitrobenzoate,C8H6ClNO4,13324-11-3
N-benzylcyclopropylamine,C10H13N,13324-66-8
NH2(CH2)4OH,C4H11NO,13325-10-5
Aluminum silicate,Al2O7Si2,1332-58-7
Bismuth monoxide,BiO,1332-64-5
"hexane, 3,4-dichloro-",C6H12Cl2,133267-25-1
Beryllium hydroxide,H2BeO2,13327-32-7
3-(methylthio)propanoic acid ethyl ester,C6H12O2S,13327-56-5
Potassium borate,B4K2O7,1332-77-0
"Silanediamine, 1,1-dichloro-N,N,N',N'-tetramethyl-",C4H12Cl2N2Si,13328-30-8
4-Iodoacetophenone,C8H7IO,13329-40-3
"Cysteine, n-octyl-",C11H23NO2S,133294-14-1
"Benzeneboronic acid, m-nitro-",C6H6BNO4,13331-27-6
N'-(2-chloroethyl)-n-methoxy-n-methylurea,C5H11ClN2O2,133318-33-9
"Serine, n-(2-imidazolin-2-yl)-",C6H11N3O3,133318-36-2
"4-Nitroso-2,6-xylenol",C8H9NO2,13331-93-6
10-Undecenoic acid,C11H20O2,1333-28-4
"2,4-Dimethylphenoxyacetic acid",C10H12O3,13334-49-1
"Phosphinic acid, phenyl-, isobutyl ester",C10H15O2P,13336-52-2
"P-phenylazo carbanilic acid, alpha-fenchyl ester",C23H27N3O2,133371-97-8
"3,13Alpha-dihydroxy-13,17-secoestra-1,3,5(10),6,8-pentaen-17-oic acid",C18H20O4,133372-01-7
"3,13Alpha-dihydroxy-13,17-secoestra-1,3,5(10)-trien-17-oic acid",C18H24O4,133372-02-8
"Phosphonic dichloride, (3-methyl-1,2-butadienyl)-",C5H7Cl2OP,13337-33-2
Hydrogen,H2,1333-74-0
"2(1h)-Pyridinone, 1-ethyl-",C7H9NO,13337-79-6
Tartaric acid,C4H6O6,133-37-9
Chromium trioxide,CrO3,1333-82-0
Cobalt blue,Al2CoO4,1333-88-6
"2-(2-Pyridyl-2-vinyl)pyridine, trans",C12H10N2,13341-40-7
CNCN+,C2N2+,133415-63-1
p-Chlorodiphenyl sulfide,C12H9ClS,13343-26-5
(Z)-4-decen-6-yne,C10H16,13343-76-5
(E)-4-decen-6-yne,C10H16,13343-77-6
1-(2-Furyl)-3-(2-thienyl)-2-propen-1-one,C11H8O2S,13343-95-8
1-Butoxy-2-methoxyethane,C7H16O2,13343-98-1
"Butane, 1,4-diethoxy-",C8H18O2,13344-00-8
6-Phenyluracil,C10H8N2O2,13345-09-0
methyl furoate,C6H6O3,1334-76-5
Triamantane,C18H24,13349-10-5
Pentachloro benzenethiol,C6HCl5S,133-49-3
1-(2-(2-Hydroxyethoxy)ethyl)piperazine,C8H18N2O2,13349-82-1
9-Thiabicyclo[4.2.1]non-7-ene,C8H12S,13350-64-6
Methylheptenol,C8H16O,1335-09-7
3-Phenylpropanal,C9H10O,1335-10-0
"1-Propanol, phenyl-",C9H12O,1335-12-2
"2H-Inden-2-one, octahydro-3a-methyl-, cis-",C10H16O,13351-29-6
"2,2-Dimethyl-3-phenyl-1-propanol",C11H16O,13351-61-6
1-methylbenzotriazole,C7H7N3,13351-73-0
"Benzo[b]bicyclo[4.4.1]undeca-1,3,5,7,9-pentaene",C15H12,13352-41-5
"2-Furamidoxime, o-(3-pyridinecarbonyl)-5-nitro",C11H8N4O5,13353-88-3
Hexenal,C6H10O,1335-39-3
Ethyl furoate,C7H8O3,1335-40-6
Ditolylmethane,C15H16,1335-47-3
Dihydrofarnesol,C15H28O,1335-48-4
"distannoxane, hexakis(2-methyl-2-phenylpropyl)-",C60H78OSn2,13356-08-6
"Stannane, tetrakis(2,2-dimethylpropyl)-",C20H44Sn,13356-21-3
Isocyclocitral,C10H16O,1335-66-6
"3-Methyl-4-cyclohexene-1,1,2,2-tetracarbonitrile",C11H8N4,13358-02-6
Anhydride of 4-nitro-3-hydroxymercuri-o-cresol,C7H5HgNO3,133-58-4
"5,5-Dimethyl-3-(piperidino)cyclohex-2-en-1-one",C13H21NO,13358-76-4
"Coumarin, 3-chloro-7-diethylamino-",C13H14ClNO2,133590-12-2
"Benzenesulfonyl chloride, 2-methyl-",C7H7ClO2S,133-59-5
3-(4-Bromo-3-chlorophenyl)-1-methoxy-1-methylurea,C9H10BrClN2O2,13360-45-7
&#946;-Cellobiose,C12H22O11,13360-52-6
1-Pentadecene,C15H30,13360-61-7
"1-Butanamine, n-ethyl-",C6H15N,13360-63-9
"Pyrazine, 2-ethyl-5-methyl-",C7H10N2,13360-64-0
"2,5-dimethyl-3-ethylpyrazine",C8H12N2,13360-65-1
Phenyl diphenylphosphinite,C18H15OP,13360-92-4
"Acetic acid, cyano-, 2-ethylhexyl ester",C11H19NO2,13361-34-7
"Acetic acid, chloro-, isobutyl ester",C6H11ClO2,13361-35-8
"1-pentyne, 4,4-dimethyl-",C7H12,13361-63-2
2-Propynyltrimethylsilane,C6H12Si,13361-64-3
Ge(Me)3(NMe2),C5H15GeN,13361-67-6
"Pyridine, 2-[2-(3-pyridinyl)ethenyl]-, (E)-",C12H10N2,13362-75-9
"Pyridine, 4,4'-(1,2-ethenediyl)bis-, (E)-",C12H10N2,13362-78-2
"Quinoline, 4,8-dimethyl-",C11H11N,13362-80-6
"Bicyclo[3.2.0]heptane, 6-methyl-, (1&#945;, 5&#945;, 6&#945;)-",C8H14,133645-00-8
"9H-purine, 6-amino-2-(methylamino)-9-beta-d-ribofuranosyl-",C11H16N6O4,13364-95-9
"Phosphine, 1-propynyl-",C3H5P,133672-84-1
"Phosphine, 1,2-propadienyl-",C3H5P,133672-87-4
"Phosphine, (1-methyl-1,2-propadienyl)-",C4H7P,133672-88-5
Trichlormethiazide,C8H8Cl3N3O4S2,133-67-5
"Cyclohexanone, 3-methyl-, (R)-",C7H12O,13368-65-5
"1,3-Dioxolane, 2,2,4,4-tetramethyl-",C7H14O2,13372-34-4
C56,C56,133727-21-6
Cinnamaldehyde oxime,C9H9NO,13372-81-1
Octadecyl butanoate,C22H44O2,13373-83-6
1-Eicosanethiol,C20H42S,13373-97-2
InH2,H2In,133745-98-9
"Tricyclo[3.2.1.0<sup>2,4</sup>]octane,(1&#945;,2&#946;,4&#946;,5&#945;)-",C8H12,13377-46-3
Undecenal,C11H20O,1337-83-3
N-(4-Bromophenyl)maleimide,C10H6BrNO2,13380-67-1
"4,7-Methano-5H-inden-5-one, octahydro-",C10H14O,13380-94-4
CH3COOCa,C2H3CaO2,133811-29-7
Phenyl methylphosphonofluoridate,C7H8FO2P,133826-40-1
(CH3)2N-CH=N-(c-propyl),C6H12N2,133835-16-2
"(CH3)2N-CH=N-(1,1-dimethylpropyl)",C8H18N2,133835-17-3
(CH3)2N-CH=N-(1-Ad),C13H22N2,133835-18-4
"1,2-dimethyl-4-(1,1,3,3-tetramethylbutyl)benzene",C16H26,13384-13-9
Tween 80,C24H44O6,1338-43-8
HXe2+,HXe2+,133861-80-0
"3,5-Dimethoxyphenylacetonitrile",C10H11NO2,13388-75-5
"2-Octene, (E)-",C8H16,13389-42-9
"2-Furoic acid, tetrahydro-5-oxo-2-phenyl-, methyl ester",C12H12O4,13389-98-5
"3-Amino-2,5-dichlorobenzoic acid",C7H5Cl2NO2,133-90-4
"3,5-Diiodo-2-hydroxybenzoic acid",C7H4I2O3,133-91-5
2-Dimethylaminoadamantane,C12H21N,13392-28-4
"2,3-Dimethyl-2,3-bis[(E)phenylazo]butane",C18H22N4,133930-64-0
"Thieno[2,3-b]thiophene,2-methyl-",C7H6S2,13393-75-4
c80-Fullerene,C80,133947-14-5
"3,2'-Dimethyl-4-aminobiphenyl hydrochloride",C14H16ClN,13394-86-0
"Copper, bis(2,4-pentanedionato-o,o')-",C10H14CuO4,13395-16-9
"Hexanoic acid, 5,5-dimethyl-2,4-dioxo-, ethyl ester",C10H16O4,13395-36-3
Vanadium trimer,V3,133954-09-3
Vanadium tetramer,V4,133954-10-6
V5,V5,133954-11-7
V6,V6,133954-12-8
V7,V7,133954-13-9
"3,5-diCl-benzophenone radical",C13H8Cl2O,13395-64-7
"2,4,4-trimethyl-2-cyclohexenone",C9H14O,13395-71-6
2-Tert-butyl-4-chlorophenol,C10H13ClO,13395-85-2
"Bicyclo[3.3.1]nona-3,7-diene-2,6-dione",C9H8O2,133960-97-1
Tetraphosphorous sulfide,P4S,13396-89-9
o-bromobutylbenzene,C10H13Br,13397-98-3
"Benzeneethanol, 3-hydroxy-",C8H10O2,13398-94-2
"1-Propanethiol, 3-trimethylsilyl-",C6H16SSi,13399-93-4
Cesium fluoride,CsF,13400-13-0
"3-Chloro-2,2-dimethyl-1-propanol",C5H11ClO,13401-56-4
"2-Propenoic acid, hexadecyl ester",C19H36O2,13402-02-3
Epichlorohydrin,C3H5ClO,13403-37-7
"Urea], 1,1'-trimethylenebis[3-methyl-3-nitroso-",C7H14N6O4,13404-51-8
"Carbamic acid, thio-2-benzimidazole, ethyl ester",C10H11N3OS,13404-88-1
"Phosphine, tris[4-(trifluoromethyl)phenyl]-",C21H12F9P,13406-29-6
"Cyclohexene,4-methylene-",C7H10,13407-18-6
Bis(pyridine)copper chloride,C10H10Cl2CuN2,13408-58-7
"Phosphonous acid, phenyl-, diphenyl ester",C18H15O2P,13410-61-2
C80,C80,134109-59-4
"Benzoic acid, 2-ethoxy-",C9H10O3,134-11-2
"2-Trimethylsilyl-1,3-dithiane",C7H16S2Si,13411-42-2
Trimethylsilyl acetate,C5H12O2Si,13411-48-8
1-(4-Methoxyphenylazo)-2-naphthol,C17H14N2O2,13411-91-1
Cl..Fe-perchlorotetraphenylporphyrin radical,C44Cl29FeN4,134131-11-6
(CH3)2N-CH=N-CH2CN,C5H9N3,134166-58-8
(CH3)2N-CH=N-CH2CF3,C5H9F3N,134166-59-9
(CH3)2N-CH=N-CH2CH2CN,C6H11N3,134166-60-2
(CH3)2N-CH=N-(2-methoxyethyl),C6H14N2O,134166-62-4
"2-Butene, 1-chloro-2-methyl-",C5H9Cl,13417-43-1
C6H8OSi,C6H8OSi,134178-80-6
C3H10O2Si,C3H10O2Si,134178-81-7
CH4F2OSi,CH4F2OSi,134178-82-8
"2-Hexenoic acid, (E)-",C6H10O2,13419-69-7
"Benzoic acid, 2-amino-, methyl ester",C8H9NO2,134-20-3
C3H10O3Si,C3H10O3Si,134208-49-4
C2H8O3Si,C2H8O3Si,134208-50-7
5-Chloro-2-iodobenzoic acid,C7H4ClIO2,13421-00-6
4-Chloro-2-iodobenzoic acid,C7H4ClIO2,13421-13-1
"Furan, tetrahydro-3-methyl-",C5H10O,13423-15-9
"7-Acetoxybicyclo[2.2.1]-2,5-heptadiene",C9H10O2,13426-49-8
"2-Norbornen-7-ol, acetate, anti-",C9H12O2,13426-55-6
"3,8-Dimethyl-5-alpha-hydroxy-delta<sup>9</sup>-octa hydroazulene acetate",C17H28O2,134-28-1
"Methyl (2,3,4,6-tetranitrophenyl)nitramine",C7H4N6O10,134282-37-4
"2-Propanol, 1-(2-methoxypropoxy)-",C7H16O3,13429-07-7
"N-Methylimidazolidine, 2-thione",C4H8N2S,13431-10-2
"Thiosemicarbazide, 4-ethyl-",C3H9N3S,13431-34-0
"1,3-Propanediol, 2-hydroxymethyl-2-methyl-, triacetate",C11H18O6,13431-59-9
"3-Hexanol, 2,4-dimethyl-",C8H18O,13432-25-2
1-Naphthalenamine,C10H9N,134-32-7
asp-val,C9H16N2O5,13433-04-0
N-(3-Methylbutyl)acetamide,C7H15NO,13434-12-3
"Silanediamine, 1,1-dimethyl-N,N'-diphenyl-",C14H18N2Si,13435-09-1
N-(Trimethylsilyl)acetamide,C5H13NOSi,13435-12-6
"Diazene, bis(trimethylsilyl)-",C6H18N2Si2,13436-03-8
2-Ethoxytetrahydrofuran,C6H12O2,13436-46-9
1-methylindazole,C8H8N2,13436-48-1
HCCCO,C3HO,134389-55-2
"N,N,N',N',N''-Pentamethylguanidine",C6H15N3,13439-84-4
((CH3)2N)2C=NC2H5,C7H17N3,13439-88-8
Aluminum oxide,Al2O3,1344-28-1
"N,n-di-methyl-amido-azo-benzol",C9H11N3O,13444-02-5
"3-Piperidinol, 1-ethyl-",C7H15NO,13444-24-1
Manganese monoxide,MnO,1344-43-0
Nitrosyl bromide,BrNO,13444-87-6
Nitryl chloride,ClNO2,13444-90-1
